ANNEE;SECTEUR_SCIAN;NB_LESION
2016;AUTRES OU NON CODES;8977
2016;SOINS DE SANTE ET ASSISTANCE SOCIALE;16414
2016;ADMINISTRATIONS PUBLIQUES;4775
2016;COMMERCE DE DETAIL;7240
2016;FABRICATION DE BIENS NON DURABLES;7461
2016;COMMERCE DE GROS;3130
2016;FABRICATION DE BIENS DURABLES;10312
2016;HEBERGEMENT ET SERVICES DE RESTAURATION;3818
2016;SERVICES D'ENSEIGNEMENT;3658
2016;TRANSPORT ET ENTREPOSAGE;5112
2016;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4139
2016;FINANCE ET ASSURANCES;382
2016;CONSTRUCTION;6207
2016;INFORMATION, CULTURE ET LOISIRS;1885
2016;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;667
2016;AUTRES SERVICES;2975
2016;AGRICULTURE;921
2016;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;889
2016;SERVICES PUBLICS;379
2016;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;360
2016;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;675
2016;PECHE, CHASSE ET PIEGEAGE;38
2017;AUTRES OU NON CODES;11005
2017;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4330
2017;HEBERGEMENT ET SERVICES DE RESTAURATION;4077
2017;SOINS DE SANTE ET ASSISTANCE SOCIALE;17200
2017;CONSTRUCTION;6592
2017;FABRICATION DE BIENS DURABLES;10187
2017;TRANSPORT ET ENTREPOSAGE;5487
2017;FABRICATION DE BIENS NON DURABLES;7908
2017;COMMERCE DE DETAIL;7658
2017;SERVICES D'ENSEIGNEMENT;4024
2017;SERVICES PUBLICS;366
2017;ADMINISTRATIONS PUBLIQUES;4915
2017;COMMERCE DE GROS;3321
2017;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;718
2017;AGRICULTURE;985
2017;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;967
2017;AUTRES SERVICES;2946
2017;FINANCE ET ASSURANCES;362
2017;INFORMATION, CULTURE ET LOISIRS;1917
2017;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;760
2017;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;382
2017;PECHE, CHASSE ET PIEGEAGE;28
2018;AUTRES OU NON CODES;13131
2018;SOINS DE SANTE ET ASSISTANCE SOCIALE;18154
2018;FABRICATION DE BIENS DURABLES;11095
2018;FABRICATION DE BIENS NON DURABLES;8400
2018;COMMERCE DE DETAIL;7783
2018;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4410
2018;SERVICES D'ENSEIGNEMENT;4429
2018;COMMERCE DE GROS;3686
2018;CONSTRUCTION;7443
2018;AUTRES SERVICES;3296
2018;INFORMATION, CULTURE ET LOISIRS;1838
2018;TRANSPORT ET ENTREPOSAGE;5912
2018;HEBERGEMENT ET SERVICES DE RESTAURATION;4190
2018;AGRICULTURE;1014
2018;ADMINISTRATIONS PUBLIQUES;4978
2018;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;867
2018;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;1019
2018;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;331
2018;SERVICES PUBLICS;361
2018;FINANCE ET ASSURANCES;367
2018;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;666
2018;PECHE, CHASSE ET PIEGEAGE;36
2019;AUTRES OU NON CODES;14703
2019;SOINS DE SANTE ET ASSISTANCE SOCIALE;18009
2019;CONSTRUCTION;8234
2019;FABRICATION DE BIENS DURABLES;11289
2019;TRANSPORT ET ENTREPOSAGE;6246
2019;ADMINISTRATIONS PUBLIQUES;5111
2019;FABRICATION DE BIENS NON DURABLES;8579
2019;SERVICES D'ENSEIGNEMENT;4952
2019;COMMERCE DE GROS;3682
2019;COMMERCE DE DETAIL;8120
2019;AGRICULTURE;986
2019;AUTRES SERVICES;3079
2019;INFORMATION, CULTURE ET LOISIRS;1986
2019;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;954
2019;HEBERGEMENT ET SERVICES DE RESTAURATION;4261
2019;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4910
2019;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;539
2019;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;761
2019;FINANCE ET ASSURANCES;364
2019;SERVICES PUBLICS;333
2019;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;340
2019;PECHE, CHASSE ET PIEGEAGE;27
2020;AUTRES OU NON CODES;11979
2020;TRANSPORT ET ENTREPOSAGE;5115
2020;SERVICES D'ENSEIGNEMENT;3640
2020;CONSTRUCTION;7599
2020;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4136
2020;FABRICATION DE BIENS NON DURABLES;7994
2020;SOINS DE SANTE ET ASSISTANCE SOCIALE;31652
2020;COMMERCE DE DETAIL;7230
2020;AGRICULTURE;875
2020;ADMINISTRATIONS PUBLIQUES;4393
2020;FABRICATION DE BIENS DURABLES;8925
2020;HEBERGEMENT ET SERVICES DE RESTAURATION;2355
2020;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;761
2020;AUTRES SERVICES;2333
2020;INFORMATION, CULTURE ET LOISIRS;889
2020;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;275
2020;COMMERCE DE GROS;3045
2020;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;654
2020;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;380
2020;FINANCE ET ASSURANCES;230
2020;SERVICES PUBLICS;249
2020;PECHE, CHASSE ET PIEGEAGE;23
2021;SOINS DE SANTE ET ASSISTANCE SOCIALE;26589
2021;ADMINISTRATIONS PUBLIQUES;4495
2021;AUTRES OU NON CODES;14761
2021;CONSTRUCTION;8826
2021;COMMERCE DE DETAIL;7325
2021;FABRICATION DE BIENS DURABLES;9778
2021;COMMERCE DE GROS;3054
2021;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;744
2021;AUTRES SERVICES;2365
2021;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;674
2021;HEBERGEMENT ET SERVICES DE RESTAURATION;2170
2021;TRANSPORT ET ENTREPOSAGE;5087
2021;FABRICATION DE BIENS NON DURABLES;7873
2021;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4335
2021;SERVICES D'ENSEIGNEMENT;4626
2021;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;346
2021;SERVICES PUBLICS;309
2021;INFORMATION, CULTURE ET LOISIRS;901
2021;AGRICULTURE;890
2021;FINANCE ET ASSURANCES;176
2021;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;347
2021;PECHE, CHASSE ET PIEGEAGE;21
2022;SOINS DE SANTE ET ASSISTANCE SOCIALE;74517
2022;ADMINISTRATIONS PUBLIQUES;5728
2022;FABRICATION DE BIENS DURABLES;10297
2022;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;439
2022;AUTRES OU NON CODES;15906
2022;FABRICATION DE BIENS NON DURABLES;7883
2022;HEBERGEMENT ET SERVICES DE RESTAURATION;2822
2022;CONSTRUCTION;9502
2022;AUTRES SERVICES;2546
2022;TRANSPORT ET ENTREPOSAGE;6193
2022;COMMERCE DE GROS;3144
2022;COMMERCE DE DETAIL;7216
2022;SERVICES D'ENSEIGNEMENT;5625
2022;AGRICULTURE;864
2022;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;5565
2022;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;890
2022;INFORMATION, CULTURE ET LOISIRS;1249
2022;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;791
2022;SERVICES PUBLICS;299
2022;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;285
2022;FINANCE ET ASSURANCES;179
2022;PECHE, CHASSE ET PIEGEAGE;22
